x,E,N,z
17.28345627,255225.4296,4208525.845,3753.031982
17.31682943,255225.4022,4208525.864,3753.0354
17.35020259,255225.3748,4208525.883,3753.036865
17.38357574,255225.3474,4208525.902,3753.039307
17.4169489,255225.32,4208525.921,3753.040771
17.45032205,255225.2926,4208525.94,3753.041992
17.48369521,255225.2652,4208525.959,3753.042725
17.51706837,255225.2377,4208525.978,3753.044434
17.55044152,255225.2103,4208525.997,3753.046143
17.58381468,255225.1829,4208526.016,3753.048828
17.61718783,255225.1555,4208526.035,3753.051514
17.65056099,255225.1281,4208526.054,3753.055908
17.68393415,255225.1007,4208526.073,3753.063965
17.7173073,255225.0733,4208526.092,3753.070557
17.75068046,255225.0459,4208526.111,3753.077881
17.78405361,255225.0185,4208526.13,3753.09082
17.81742677,255224.9911,4208526.149,3753.100098
17.85079993,255224.9637,4208526.168,3753.110352
17.88417308,255224.9363,4208526.187,3753.120361
17.91754624,255224.9089,4208526.206,3753.136719
17.95091939,255224.8815,4208526.225,3753.14624
17.98429255,255224.8541,4208526.244,3753.154785
18.01766571,255224.8267,4208526.263,3753.170898
18.05103886,255224.7993,4208526.283,3753.178467
18.08441202,255224.7719,4208526.302,3753.186279
18.11778517,255224.7444,4208526.321,3753.201416
18.15115833,255224.717,4208526.34,3753.208008
18.18453149,255224.6896,4208526.359,3753.2146
18.21790464,255224.6622,4208526.378,3753.222412
18.2512778,255224.6348,4208526.397,3753.238037
18.28465095,255224.6074,4208526.416,3753.24585
18.31802411,255224.58,4208526.435,3753.253906
18.35139727,255224.5526,4208526.454,3753.269775
18.38477042,255224.5252,4208526.473,3753.277832
18.41814358,255224.4978,4208526.492,3753.286133
18.45151673,255224.4704,4208526.511,3753.303223
18.48488989,255224.443,4208526.53,3753.311279
18.51826305,255224.4156,4208526.549,3753.319824
18.5516362,255224.3882,4208526.568,3753.337158
