x,E,N,z,base_h,base_z
8.33,255018.9786,4208456.773,3783.179443,36.59088352,3746.588559
8.36,255018.9511,4208456.762,3783.182129,36.58163515,3746.600494
8.39,255018.9236,4208456.75,3783.184814,36.57238678,3746.612427
8.42,255018.8962,4208456.739,3783.19165,36.56313841,3746.628512
8.45,255018.8687,4208456.727,3783.195313,36.55389004,3746.641423
8.48,255018.8413,4208456.715,3783.203369,36.54464167,3746.658727
8.51,255018.8138,4208456.704,3783.207031,36.53539329,3746.671638
8.54,255018.7864,4208456.692,3783.217041,36.52614492,3746.690896
8.57,255018.7589,4208456.681,3783.221436,36.51689655,3746.704539
8.6,255018.7315,4208456.669,3783.226318,36.50764818,3746.71867
8.63,255018.704,4208456.658,3783.237549,36.49839981,3746.739149
8.66,255018.6766,4208456.646,3783.242432,36.48915144,3746.753281
8.69,255018.6491,4208456.634,3783.253418,36.47990307,3746.773515
8.72,255018.6217,4208456.623,3783.258057,36.4706547,3746.787402
8.75,255018.5942,4208456.611,3783.263916,36.46140632,3746.80251
8.78,255018.5668,4208456.6,3783.273926,36.45215795,3746.821768
8.81,255018.5393,4208456.588,3783.278564,36.44290958,3746.835654
8.84,255018.5119,4208456.577,3783.287109,36.43366121,3746.853448
8.87,255018.4844,4208456.565,3783.290771,36.42441284,3746.866358
8.9,255018.4569,4208456.554,3783.298096,36.41516447,3746.882932
8.93,255018.4295,4208456.542,3783.301758,36.4059161,3746.895842
8.96,255018.402,4208456.53,3783.30542,36.39666773,3746.908752
8.99,255018.3746,4208456.519,3783.311279,36.38741935,3746.92386
9.02,255018.3471,4208456.507,3783.314697,36.37817098,3746.936526
9.05,255018.3197,4208456.496,3783.31958,36.36892261,3746.950657
9.08,255018.2922,4208456.484,3783.32251,36.35967424,3746.962836
9.11,255018.2648,4208456.473,3783.32666,36.35042587,3746.976234
9.14,255018.2373,4208456.461,3783.327393,36.3411775,3746.986216
9.17,255018.2099,4208456.45,3783.328125,36.33192913,3746.996196
9.19,255018.1824,4208456.438,3783.329834,36.32576355,3747.00407
9.22,255018.155,4208456.426,3783.330322,36.31651518,3747.013807
9.25,255018.1275,4208456.415,3783.331787,36.3072668,3747.02452
9.28,255018.1001,4208456.403,3783.332275,36.29801843,3747.034257
9.31,255018.0726,4208456.392,3783.333496,36.28877006,3747.044726
9.34,255018.0452,4208456.38,3783.33374,36.27952169,3747.054218
9.37,255018.0177,4208456.369,3783.333496,36.27027332,3747.063223
9.4,255017.9902,4208456.357,3783.334717,36.26102495,3747.073692
9.43,255017.9628,4208456.345,3783.334473,36.25177658,3747.082696
9.46,255017.9353,4208456.334,3783.335693,36.24252821,3747.093165
9.49,255017.9079,4208456.322,3783.334961,36.23327983,3747.101681
9.52,255017.8804,4208456.311,3783.334473,36.22403146,3747.110442
9.55,255017.853,4208456.299,3783.334473,36.21478309,3747.11969
9.58,255017.8255,4208456.288,3783.332275,36.20553472,3747.12674
9.61,255017.7981,4208456.276,3783.332275,36.19628635,3747.135989
9.64,255017.7706,4208456.265,3783.329834,36.18703798,3747.142796
9.67,255017.7432,4208456.253,3783.330078,36.17778961,3747.152288
9.7,255017.7157,4208456.241,3783.327881,36.16854124,3747.15934
9.73,255017.6883,4208456.23,3783.325439,36.15929287,3747.166146
9.76,255017.6608,4208456.218,3783.325928,36.15004449,3747.175884
9.79,255017.6334,4208456.207,3783.324219,36.14079612,3747.183423
9.82,255017.6059,4208456.195,3783.325195,36.13154775,3747.193647
9.85,255017.5785,4208456.184,3783.323242,36.12229938,3747.200943
9.88,255017.551,4208456.172,3783.325195,36.11305101,3747.212144
9.91,255017.5236,4208456.161,3783.323486,36.10380264,3747.219683
9.94,255017.4961,4208456.149,3783.322021,36.09455427,3747.227467
9.97,255017.4686,4208456.137,3783.324463,36.0853059,3747.239157
10,255017.4412,4208456.126,3783.323242,36.07605752,3747.247184
10.03,255017.4137,4208456.114,3783.32666,36.06680915,3747.259851
10.06,255017.3863,4208456.103,3783.325684,36.05756078,3747.268123
10.09,255017.3588,4208456.091,3783.325195,36.04831241,3747.276883
10.12,255017.3314,4208456.08,3783.329102,36.03906404,3747.290038
10.15,255017.3039,4208456.068,3783.329102,36.02981567,3747.299286
10.18,255017.2765,4208456.057,3783.334473,36.0205673,3747.313906
10.21,255017.249,4208456.045,3783.334473,36.01131893,3747.323154
10.24,255017.2216,4208456.033,3783.341797,36.00207055,3747.339726
10.27,255017.1941,4208456.022,3783.343506,35.99282218,3747.350684
10.3,255017.1667,4208456.01,3783.343994,35.98357381,3747.36042
10.33,255017.1392,4208455.999,3783.35376,35.97432544,3747.379435
10.36,255017.1118,4208455.987,3783.354736,35.96507707,3747.389659
10.39,255017.0843,4208455.976,3783.365967,35.9558287,3747.410138
10.42,255017.0569,4208455.964,3783.367188,35.94658033,3747.420608
10.45,255017.0294,4208455.952,3783.378418,35.93733196,3747.441086
10.48,255017.0019,4208455.941,3783.380371,35.92808358,3747.452287
10.51,255016.9745,4208455.929,3783.38208,35.91883521,3747.463245
10.54,255016.947,4208455.918,3783.391113,35.90958684,3747.481526
10.57,255016.9196,4208455.906,3783.394531,35.90033847,3747.494193
10.6,255016.8921,4208455.895,3783.405273,35.8910901,3747.514183
10.63,255016.8647,4208455.883,3783.40625,35.88184173,3747.524408
10.66,255016.8372,4208455.872,3783.414551,35.87259336,3747.541958
10.69,255016.8098,4208455.86,3783.416504,35.86334499,3747.553159
10.72,255016.7823,4208455.848,3783.420166,35.85409662,3747.566069
10.75,255016.7549,4208455.837,3783.427979,35.84484824,3747.583131
10.78,255016.7274,4208455.825,3783.43042,35.83559987,3747.59482
10.81,255016.7,4208455.814,3783.439941,35.8263515,3747.613589
10.84,255016.6725,4208455.802,3783.442139,35.81710313,3747.625036
10.86287284,255016.6451,4208455.791,3783.445068,35.81005191,3747.635016
10.89265991,255016.6176,4208455.779,3783.45459,35.80086918,3747.653721
10.92244698,255016.5902,4208455.768,3783.457764,35.79168645,3747.666078
10.95223404,255016.5627,4208455.756,3783.466553,35.78250373,3747.684049
10.98202111,255016.5353,4208455.744,3783.469971,35.773321,3747.69665
11.01180818,255016.5078,4208455.733,3783.476563,35.76413827,3747.712425
11.04159525,255016.4803,4208455.721,3783.480225,35.75495554,3747.725269
11.07138232,255016.4529,4208455.71,3783.482666,35.74577281,3747.736893
11.10116938,255016.4254,4208455.698,3783.489746,35.73659008,3747.753156
11.13095645,255016.398,4208455.687,3783.493408,35.72740736,3747.766001
11.16074352,255016.3705,4208455.675,3783.502441,35.71822463,3747.784216
11.19053059,255016.3431,4208455.664,3783.508545,35.7090419,3747.799503
11.22031766,255016.3156,4208455.652,3783.519043,35.69985917,3747.819184
11.25010473,255016.2882,4208455.64,3783.525391,35.69067644,3747.834715
11.27989179,255016.2607,4208455.629,3783.531738,35.68149371,3747.850244
11.30967886,255016.2333,4208455.617,3783.543701,35.67231098,3747.87139
11.33946593,255016.2058,4208455.606,3783.551758,35.66312825,3747.88863
11.369253,255016.1784,4208455.594,3783.564941,35.65394552,3747.910995
11.39904007,255016.1509,4208455.583,3783.573486,35.64476279,3747.928723
11.42882713,255016.1235,4208455.571,3783.580811,35.63558007,3747.945231
11.4586142,255016.096,4208455.559,3783.593262,35.62639734,3747.966865
11.48840127,255016.0686,4208455.548,3783.602295,35.61716308,3747.985132
11.51818834,255016.0411,4208455.536,3783.615234,35.60763163,3748.007602
11.54797541,255016.0136,4208455.525,3783.624268,35.59810018,3748.026168
11.57776248,255015.9862,4208455.513,3783.634766,35.58856872,3748.046197
11.60754954,255015.9587,4208455.502,3783.643066,35.57903727,3748.064029
11.63733661,255015.9313,4208455.49,3783.649658,35.56950582,3748.080152
11.66712368,255015.9038,4208455.479,3783.657959,35.55997437,3748.097985
11.69691075,255015.8764,4208455.467,3783.664551,35.55044291,3748.114108
11.72669782,255015.8489,4208455.455,3783.673096,35.54091146,3748.132185
11.75648488,255015.8215,4208455.444,3783.680176,35.53138001,3748.148796
11.78627195,255015.794,4208455.432,3783.688965,35.52184856,3748.167116
11.81605902,255015.7666,4208455.421,3783.696289,35.5123171,3748.183972
11.84584609,255015.7391,4208455.409,3783.703125,35.50278565,3748.200339
11.87563316,255015.7117,4208455.398,3783.712891,35.4932542,3748.219637
11.90542023,255015.6842,4208455.386,3783.721191,35.48372274,3748.237468
11.93520729,255015.6568,4208455.375,3783.732422,35.47419129,3748.258231
11.96499436,255015.6293,4208455.363,3783.73999,35.46465984,3748.27533
